Product ID,Product Name,Category,Tier,Price,MRP,GST,Stock,Image,Description,Highlights,Active
kayal-curry-masala,Kayal Curry Masala,Traditional Masalas,regular,60,60,0,100,/assets/kayal-curry-masala.jpg,"A bold, aromatic blend of hand-picked coastal spices that transforms every curry into a feast of authentic Kayalpatnam flavour.","[""No artificial colours"",""Zero preservatives"",""Traditional recipe""]",TRUE
kayal-kalari-masala-regular,Kayal Kalari Masala,Traditional Masalas,regular,60,60,0,100,/assets/kayal-kalari-masala.jpg,"A versatile everyday masala crafted from whole spices, lending a warm, earthy depth to meat and vegetable dishes.","[""Whole spice blend"",""No MSG"",""Stone-ground""]",TRUE
kayal-kalari-masala-premium,Kayal Kalari Masala Premium,Traditional Masalas,premium,120,120,0,100,/assets/kayal-kalari-masala-premium.jpg,Premium-grade Kalari Masala with richer whole spice proportions and slow-roasted aromatics for connoisseurs.,"[""Slow-roasted spices"",""Enhanced aroma"",""Limited batch""]",TRUE
fish-curry-masala-regular,Fish Curry Masala,Traditional Masalas,regular,60,60,0,100,/assets/fish-curry-masala.jpg,"Specially balanced for coastal fish curries — tangy, spicy, and deeply aromatic with traditional Kayalpatnam know-how.","[""Coastal recipe"",""Perfect fish-spice balance"",""No artificial flavour""]",TRUE
fish-curry-masala-premium,Fish Curry Masala Premium,Traditional Masalas,premium,120,120,0,100,/assets/fish-curry-masala-premium.jpg,Premium Fish Curry Masala using superior whole dried chilies and hand-sorted coastal spices for an elevated catch-of-the-day experience.,"[""Superior dried chilies"",""Hand-sorted"",""Rich coastal depth""]",TRUE
kayal-pepper-masala,Kayal Pepper Masala,Traditional Masalas,regular,60,60,0,100,/assets/kayal-pepper-masala.jpg,"A fiery pepper-forward masala for bold meat and egg dishes, capturing the heat-loving palate of Kayalpatnam kitchens.","[""High black pepper content"",""Zero fillers"",""Authentic heat""]",TRUE
tandoori-kebab-masala,Tandoori / Kebab Masala,Traditional Masalas,regular,60,60,0,100,/assets/tandoori-kebab-masala.jpg,"Smoky, aromatic tandoori spice blend perfect for grilling, baking, or pan-searing — delivering restaurant-quality results at home.","[""Smoky undertone"",""Versatile grilling blend"",""No artificial colour""]",TRUE
salna-masala,Salna Masala,Traditional Masalas,regular,60,60,0,100,/assets/salna-masala.jpg,"The soul of Tamil street food — a rich, layered masala that makes the perfect companion for parottas, chapatis, and biryani.","[""Street food authentic"",""Rich layered flavour"",""Easy to use""]",TRUE
instant-sambar-mix-regular,Instant Sambar Mix,Traditional Masalas,regular,60,60,0,100,/assets/instant-sambar-mix.jpg,"Quick-brew sambar powder made from traditional South Indian spices — tangy, hearty, and comforting in minutes.","[""Ready in minutes"",""Traditional recipe"",""No artificial agents""]",TRUE
instant-sambar-mix-premium,Instant Sambar Mix Premium,Traditional Masalas,premium,120,120,0,100,/assets/instant-sambar-mix-premium.jpg,"Premium Sambar Mix with a richer proportion of sun-dried tomatoes, Byadagi chilli, and aromatic curry leaves for a deeper, more layered bowl.","[""Sun-dried tomatoes"",""Byadagi chilli"",""Deep aromatic profile""]",TRUE
biriyani-masala,Biriyani Masala,Traditional Masalas,regular,60,60,0,100,/assets/biriyani-masala.jpg,Fragrant whole-spice biriyani blend with kewra-kissed warmth and slow-roasted bay leaf — every grain of rice soaks up the heritage.,"[""Whole spice dominant"",""Slow roasted"",""Aromatic layers""]",TRUE
